name,price,url,description_intro,"""VICTOR",***FREE***,***PREORDER,*NEW RELEASE,- EFFORTLESS SHUTTLE FLIGHT WITH EASY SWING AND POWER,20,3U BADMINTON RACKET,3U: MAXIMUM RECOMMENDED TENSION,4U: MAXIMUM RECOMMENDED TENSION,6.4MM SLIM SHAFT STRUCTURE,6.6MM HIGH ELASTIC SLIM CONTROL SHAFT,6.6MM HIGH ELASTIC SLIM SHAFT,6.8MM SLIM SHAFT,<<<DISCONTINUED LEGACY ITEM,A DESIGN BREAKTHROUGH,ADVANCED CARBON FIBER CONSTRUCTION,AERODYNAMIC CROSS-SECTION SYSTEM,AERODYNAMIC CROSS-SECTION SYSTEM & LOW WIND RESISTANCE FRAME,AERODYNAMIC FRAME PROFILE,AGILE & FLEXIBLE DESIGN,ARS-LF80 | ARS,BALANCE,BALANCE POINT,BOOST,BOX FRAME DESIGN,CASE,CAUTION,CHARACTERISTICS,CLASSIC BRAVESWORD BALANCE AND FEEL,COLOR,COMBAT,COMPOSITION,COMPOUND-SWORD,COMPREHENSIVE SHOCK ABSORPTION,CONICAL DYNAMIC TAPER SHAFT,CONICAL FRAME,DESCRIPTIONS,DESIGNED FOR,"DIFFERENT FRAME STRUCTURES-INCLUDING POWER-BOX, DIAMOND, AERO, AND AERDYNAMIC","DIFFERENT FRAME STRUCTURES-INCLUDING POWER-BOX, DIAMOND, AERO, AND AERODYNAMIC",DRIVE,DYNAMIC FRAME,DYNAMIC FRAME SYSTEM,ELASTIC REBOUND SYSTEM,ELASTIC SHAFT & SHAFT TORSION CONTROL,ETA,EXPLOSIVE TAPER,FLEX,FRAME,FRAME MATERIAL,FRAME SHAPE,FREE CORE,FRTP TECH,FULL LENGTH,GIFT BOX INCLUDE,GIFT BOX INCLUDES,GRAVITY TRANSFER SYSTEM,GRIP,GRIP LENGTH,GRIP SIZE,HARD CORED TECHNOLOGY,HARD WIND WHEEL FRAME,HARD-CORED TECHNOLOGY,HDF SHOCK ABSORPTION SYSTEM / CUBIC LOCKING,HIGH DENSITY COMPOSITE SHOCK ABSORPTION SYSTEM,HIGH ELASTIC CARBON FIBER (FRAME & SHAFT MATERIAL),HIGH-DENSITY SHOCK ABSORPTION SYSTEM,HIGHLIGHTS,HOT MELT TECHNOLOGY,HYBRID-ON,INCLUDES,INNOVATIVE NANO RESIN TECHNOLOGY,INSPIRED BY THE MARVEL SUPERHERO,INSTINCT,ISOMETRIC,JOINT,KEYWORD,LAUNCH DATE,LENGTH,LOW WIND RESISTANCE FRAME,MADE IN,MATERIAL,MAXIMUM RACKET TENSION,METALLIC CARBON FIBER,MULTI-DIMENSIONAL COMPOSITE CONTROL SYSTEM,MUSCLE POWER FRAME,NET QUANTITY,NEXT-GEN FRAME,NOTE,OTHERS,OVERALL LENGTH,PLAYER LEVEL,PLAYER TYPE,POWER-BIASED CONTROL DESIGN,POWERBOX,POWERRING,PREORDER ONLY,PRESSURE SHOCK ABSORPTION SYSTEM,PRODUCT,PRODUCT CODE,PRODUCT LAUNCH DATE,PRODUCT RANGE,PRODUCT TYPE,PYROFIL,RACKET CASES CAN BE PURCHASED HERE,RACKET GRIP SIZE,REBOUND-TRANSITION CONSTRUCTION,RECOMMENDED STRING TENSION,RELEASE,RELEASE DATE,SET INCLUDES,SEVENTYSIX-76,SHAFT,SHAFT FLEXIBILITY,SHAFT MATERIAL,SHAFT THICKNESS,SHAFT THICKNESS MM,SHOCK ABSORPTION HANDLE & DUAL/COMPOSITE SHOCK ABSORPTION SYSTEM,SOFT FLEX SHAFT,SOLID HYPER-ELASTIC SHAFT,SONIC-REBOUND TECHNOLOGY,SPEAR 93 BADMINTON RACKET,STABLE TAPER CONE,STIFFNESS,STRING,STRING TENSION,STRING TENSION LBS,STRINGING SERVICE,STRINGING TENSION,STRINGS,STYLE CODE,TENSION,"THE ""YINGCREDIBLE",THE COMPOUND FRAME DESIGN CAN BE DIVIDED INTO THREE MAJOR PARTS,THE NEW LI-NING AXFORCE 100,THE NEW LI-NING AXFORCE 100 (AYPV039),TOUGH STRUCTURE,"TRI-FORMATION: DIFFERENT FRAME STRUCTURES-INCLUDING POWER-BOX, DIAMOND, AERO, AND AERDYNAMIC",TYPE,ULTRA-LIGHTWEIGHT CONSTRUCTION,VICTOR BRAVE SWORD TECHNOLOGY SUPER INSIDER WAVE TECHNOLOGY COMBINED WITH BRAVE SWORD TECHNOLOGY,"VICTOR｜ULTRAMAN COLLECTION FEATURES AN COLLABORATION SERIES OF RACKETS, SHOES, BAGS, APPAREL, AND ACCESSORIES",WEIGHT,WEIGHT / GRIP SIZE,WES,WORLD WIDE LAUNCH DATE
Li Ning Extra Skill Windstorm 74 Strung Badminton Racket [Yellow] AYPQ004-3,$159.00 CAD,https://yumo.ca/collections/badminton-rackets/products/li-ning-extra-skill-windstorm-74-strung-badminton-racket-yellow-aypq004-3-yumo-pro-shop,,,,,,,,,,,,,,,,,,,,,,,,310mm,,,Case NOT Included,,,,"Yellow, Black",,,,,,,,,,,,,,,,,,Flexible,,,,,,,,,,,200mm,"Extra Small 3 1/8""",,,,,,,,,,,,,,,,,,,,,,Commercial Grade Carbon Fiber,,,,,,,,,675mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Included @ 24lbs with Logo,,"Vertical 24-28 lbs, Horizontal 26-30 lbs",,,,,,,,,,,74 grams,,,
Li Ning HALBERTEC 6000 Unstrung Badminton Racket [AYPU007-5] 5U,$159.99 CAD,https://yumo.ca/collections/badminton-rackets/products/li-ning-halbertec-6000-unstrung-badminton-racket-aypu007-5,The HALBERTEC 6000 is the newest series from the Li Ning badminton racket line. Li Ning built this racket with a balanced design for defence and offence and shuttle control on badminton court combined with contrasting orange and green colours for sleek look. *Color may be affected by monitor display Li-ning | lining | badminton racket | AYPU007-5 | AYPU007 | 5UG6 | 2025 |,,,,,,,,,,,,,,,,,,,,,,,301mm,,,,,,,"Pearl White, Jade Green",,,,,,,,,,,,,,,,,,Hard,,,,,,,,,,,215mm,"G6, Extra Small 3 1/8""/79.4mm",,,,,,,,,,,,,,,,,,,,,,ULTRA flexable Carbon Fiber,,,,,,,,,675mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vertical < 29 lbs, Horizontal < 29 lbs",,,,,,,,,,,"5U, 75-79 grams",,,
Li Ning HALBERTEC 7000 Unstrung Badminton Racket [AYPU013],$189.99 CAD,https://yumo.ca/collections/badminton-rackets/products/li-ning-halbertec-7000-unstrung-badminton-racket-aypu013,The HALBERTEC 7000 is the newest series from the Li Ning badminton racket line. Li Ning built this racket with a balanced design for defence and offence and shuttle control on badminton court combined with contrasting orange and green colours for sleek look. *Color may be affected by monitor display Li-ning | lining | badminton racket | AYPU013-3 | AYPU013-4 | AYPU013 | 3UG5 4UG5 | 2025 | AYPU013,,,,,,,,,,,,,,,,,,,,,,,301mm,,,,,,,"Green, orange",,,,,,,,,,,,,,,,,,Hard,,,,,,,,,,,215mm,"G5, Extra Small 3 1/8""/79.4mm",,,,,,,,,,,,,,,,,,,,,,ULTRA flexable Carbon Fiber,,,,,,,,,675mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vertical < 31 lbs, Horizontal < 31 lbs",,,,,,,,,,,"3U, 80 - 84 grams; 4U, 80 - 84 grams",,,
Li Ning HALBERTEC 8000 Unstrung Badminton Racket [AYPT369-3] 3U,$289.99 CAD,https://yumo.ca/collections/badminton-rackets/products/li-ning-halbertec-8000-unstrung-badminton-racket-aypt013-1-3u,The HALBERTEC is the newest series from the Li Ning badminton racket line. The Halbertec 8000 is endorsed by Fu Haifeng. The Halbertec 8000 is inspired by the Chinese ancient weapon halberd and Tai Chi. Li Ning built this racket with a balanced design for defence and offence and shuttle control on badminton court combined with contrasting pink and green colours for sleek look. There are 3U and 4U editon to suit your needs *Color may be affected by monitor display Li-ning | lining | badminton racket | AYPT013-1 | AYPT013 | 3UG5 | 2023 | AYPT369-3,,,,,,,,,,,,,,,,,,,,,,,301mm,,,,,,,"Green, Pink",,,,,,,,,,,,,,,,,,Hard,,,,,,,,,,,215mm,"G5, Extra Small 3 1/8""/79.4mm",,,,,,,,,,,,,,,,,,,,,,Military Grade Carbon Fiber,,,,,,,,,675mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vertical < 30 lbs, Horizontal < 30 lbs",,,,,,,,,,,"3U, 87 - 89 grams",,,
Li Ning HALBERTEC 8000 Unstrung Badminton Racket [AYPT369-4] 4U,$289.99 CAD,https://yumo.ca/collections/badminton-rackets/products/li-ning-halbertec-8000-unstrung-badminton-racket-aypt015-1-4u,The HALBERTEC is the newest series from the Li Ning badminton racket line. The Halbertec 8000 is endorsed by Fu Haifeng. The Halbertec 8000 is inspired by the Chinese ancient weapon halberd and Tai Chi. Li Ning built this racket with a balanced design for defence and offence and shuttle control on badminton court combined with contrasting pink and green colours for sleek look. There are 3U and 4U editon to suit your needs *Color may be affected by monitor display Li-ning | lining | badminton racket | AYPT015-1 | AYPT015 | 4UG5 | 2023 | AYPT015-1 | AYPT369 | AYPT369-4,,,,,,,,,,,,,,,,,,,,,,,301mm,,,,,,,"Green, Pink",,,,,,,,,,,,,,,,,,Hard,,,,,,,,,,,215mm,"G5, Extra Small 3 1/8""/79.4mm",,,,,,,,,,,,,,,,,,,,,,Military Grade Carbon Fiber,,,,,,,,,675mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vertical < 30 lbs, Horizontal < 30 lbs",,,,,,,,,,,"4U, 80 - 84 grams",,,
Li Ning Halbertec 9000 Power Un-strung Badminton Racket [AYPW001-3],$399.99 CAD,https://yumo.ca/collections/badminton-rackets/products/li-ning-halbertec-9000-power-un-strung-badminton-racket,"Li Ning Halbertec 9000 Power Un-strung Badminton Racket Dominate the rear court with controlled power using the Li-Ning Halbertec 9000 POWER 3U badminton racket. Engineered for advanced players who want the signature Halbertec precision with added attacking weight, the 9000 POWER enhances swing momentum and energy transfer for stronger smashes and deeper clears, without losing stability or feel. This 3U version delivers a solid, authoritative swing with a more power-biased balance, making it ideal for aggressive doubles players and strong singles competitors who rely on full-court pressure. Built with Li-Ning’s premium carbon construction and refined frame tuning, the Halbertec 9000 POWER rewards confident swings with explosive performance and dependable control in fast rallies. ----- Experience explosive speed and precision with the Li-Ning Halbertec 9000 POWER 4U badminton racket. Designed for fast-paced doubles and attacking all-around players, this lighter POWER variant delivers enhanced swing speed while retaining the added punch that defines the Halbertec 9000 POWER series. The 4U configuration offers quicker maneuverability at the net and during rapid exchanges, while its power-biased balance ensures strong offensive output from the rear court. Ideal for players who want a faster, more agile feel without sacrificing smash potential, the Halbertec 9000 POWER 4U strikes a perfect balance between speed, control, and controlled aggression.",,,,,,,,,,,,Maintains control and responsiveness while supporting powerful full swings,,,,"High-modulus materials provide exceptional stability, durability, and feedback",,,Reduces air resistance for faster swing acceleration despite added swing weight,,,Head-Heavy / Power-Biased,,,,,,,,Black and Silver,,,,,,,,,,,,,Maximizes energy transfer for heavier smashes and deeper clears,,,,,Medium to Medium-Stiff,,,,,,,,,Optimizes weight distribution for controlled aggression and rear-court dominance,,,"G5 (Extra Small 3 1/8"" / 79.4mm)",,,,,,,Minimizes vibration for improved comfort and reduced fatigue,,"Ensures a stronger, more uniform frame structure for consistent shot response",,,,,,,,,,,,,"ULTRA High Elastic Carbon Fiber (Frame), T1100 + ULTRA High Elastic Carbon Fiber + High Density Shock Absorption Material (Shaft)",,,,,,,,,675mm,,,Tuned for players who want Halbertec precision with increased attacking output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vertical < 31 lbs, Horizontal < 31 lbs (Max Stringing Tension)",,,,,,,,,,,"3U (Slightly Heavy, Power-Biased Swing Weight), 4U (Lightweight, Power-Biased Balance)",,,
Li Ning Halbertec 9000 Un-strung Badminton Racket,$299.99 CAD,https://yumo.ca/collections/badminton-rackets/products/li-ning-halbertec-9000-un-strung-badminton-racket,"Li Ning Halbertec 9000 Un-strung Badminton Racket The Halbertec 9000 series racket is a premier Control Type racket, the Halbertec 9000 series is meticulously crafted for professional and high-level players who prioritize precision, strategic play, and superior shuttlecock control. It's striking Crystal Green Dragon Chant Purple colorway ensures a unique aesthetic on the court. This 3U variant offers a Medium flex and a slightly heavier weight , providing the perfect balance for controlled power and agile manipulation of the shuttle. This 4U variant offers a Medium flex and a balanced overall weight , providing an excellent blend of agile handling and the responsiveness needed for intricate play. Made in China Key Features & Technologies: Halbertec 9000 | lining | li-ning | badminton | racket | 2025",,,,,,,,,,,"A standout feature, this slender and highly elastic shaft is specifically designed for enhanced precision and rapid responsiveness, making delicate drops and sharp drives effortless.",,,,,"Built with ULTRA High Elastic Carbon Fiber in the frame and T1100+ULTRA High Elastic Carbon Fiber in the shaft, providing exceptional strength, resilience, and precise feedback for ultimate control. The shaft also incorporates High Density Shock Absorption Material for enhanced feel.",,"The frame's design is optimized to minimize air resistance, enabling swift racket movements and quick reactions crucial for control and defense.",,,,,295mm,,,,,,,Crystal Green Dragon Chant Purple,,,,,,"A specialized frame design that contributes to overall racket stability and accuracy, particularly during defensive or precision shots.",,,,,,"Engineered for optimal energy transfer from your swing to the shuttle, enhancing power without compromising control.",,,,,,Medium,,,,,,,,,"Optimizes the racket's weight distribution, ensuring a balanced feel that aids in both offensive drives and defensive lifts, prioritizing control.",,205mm,"3U [ G5 (Extra Small 3 1/8""/79.4mm)] 4U [ G6, Extra Extra Small 3"" / 76.2 mm]",,,,,"Comprehensive vibration dampening technology integrated throughout the racket to minimize impact on your arm, providing a smooth, comfortable feel and reducing fatigue during long matches.",,,,"An advanced resin application process that creates a stronger, more uniform racket structure, enhancing durability and delivering a consistent, crisp feel on impact.",,,,,,,,,,,,,"ULTRA High Elastic Carbon Fiber (Frame), T1100+ULTRA High Elastic Carbon Fiber + High Density Shock Absorption Material (Shaft)",,,"A core technology that integrates various elements of the racket's design to offer unparalleled control and responsiveness, allowing for intricate shot placement.",,,,,,675mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Contributes to the shaft's overall stability and responsiveness, allowing for consistent shot execution and greater control over shuttle trajectory.",,,,,,,,,"3U [ Vertical < 31 lbs, Horizontal < 31 lbs] 4U [ Vertical < 30 lbs, Horizontal < 30 lbs]",,,,,,,,,,,3U (85-89 grams) 4U ( 80-84 grams),,,
Li Ning Tectonic 9 Unstrung Badminton Racket [AYPR130-1] 3U,$179.99 CAD,https://yumo.ca/collections/badminton-rackets/products/li-ning-tectonic-9-unstrung-badminton-racket-aypr130-1-3u,,,,,,,,,,,,,,,,,,,,,,,,300mm,,,,,,,"Black, White",,,,,,,,,,,,,,,,,,Flex,,,,,,,,,,,200mm,"G5, Extra Small 3 1/8""/79.4mm",,,,,,,,,,,,,,,,,,,,,,High Performance T1100G Carbon Fiber,,,,,,,,,680mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vertical < 32 lbs lbs, Horizontal < 32 lbs",,,,,,,,,,,"3U, 87 - 89 grams",,,
Li Ning Turbo Force 1000 Pre-Strung [ AYPN208-5],$39.99 CAD,https://yumo.ca/collections/badminton-rackets/products/li-ning-turbo-purple,,,,,,,,,,,,,,,,,,,,,,,,300mm,,,Case NOT Included,,,,"Green, Blue",,,,,,,,,,,,,,,,,,Medium,,,,,,,,,,,200mm,"Extra Small 3 1/8""",,,,,,,,,,,,,,,,,,,,,,Standard Grade Carbon Fiber,,,,,,,,,675mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Included @ 22lbs with logo,,"Vertical 22-26 lbs, Horizontal 24-28 lbs",,,,,,,,,,,85-89 grams,,,
Li Ning WindStorm 78SL IV Strung badminton Racket [AYPT745],$99.00 CAD,https://yumo.ca/collections/badminton-rackets/products/li-ning-windstorm-78sl-iv-badminton-racket,,,,,,,,,,,,,,,,,,,,,,,,298mm,,,Case NOT Included,,,,"Red, Gold, Black & Blue",,,,,,,,,,,,,,,,,,Flexible,,,,,,,,,,,200mm,"Extra Small 3 1/8""",,,,,,,,,,,,,,,,,,,,,,Commercial Grade Carbon Fiber,,,,,,,,,675mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vertical < 30 lbs lbs, Horizontal < 30 lbs",,,,,,,,,,,78 grams,,,
Li Ning Windstorm 79H Unstrung Badminton Racket [Black],$127.99 CAD,https://yumo.ca/collections/badminton-rackets/products/li-ning-windstorm-79h-unstrung-badminton-racket-black,,,,,,,,,,,,,,,,,,,,,,,,298mm,,,Case NOT Included,,,,"Red, Gold, Black & Blue",,,,,,,,,,,,,,,,,,Flexible,,,,,,,,,,,200mm,"Extra Small 3 1/8""",,,,,,,,,,,,,,,,,,,,,,Commercial Grade Carbon Fiber,,,,,,,,,675mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vertical < 30 lbs lbs, Horizontal < 30 lbs",,,,,,,,,,,78 grams,,,
Li Ning Windstorm 79S Unstrung Badminton Racket [White],$159.99 CAD,https://yumo.ca/collections/badminton-rackets/products/li-ning-windstorm-79s-badminton-racket-white-aypr136-1,,,,,,,,,,,,,,,,,,,,,,,,298mm,,,,,,,White,,,,,,,,,,,,,,,,,,Flexible,,,,,,,,,,,200mm,"Extra Small 3 1/8""",,,,,,,,,,,,,,,,,,,,,,Commercial Grade Carbon Fiber,,,,,,,,,675mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Included,,"Vertical < 30 lbs lbs, Horizontal < 30 lbs",,,,,,,,,,,78 grams,,,
Lining Used/Trade In Rackets for Sale,$160.00 CAD,https://yumo.ca/collections/badminton-rackets/products/lining-used-trade-in-rackets-for-sale,"**Full stringing service applies to all used/trade in rackets** ***Note: The string tension is only marked when we received, we are not responsible for tension lost by the time the purchase is made. There is no warranty for Trade-in/UsedDemo rackets and they do not come with a racket case . All Used| Trade in| Demo rackets are FINAL SALE. Racket cases can be purchased here: https://yumo.ca/products/yonex-racket-cases",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://yumo.ca/products/yonex-racket-cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Others Used/Trade In Rackets for Sale,$140.00 CAD,https://yumo.ca/collections/badminton-rackets/products/others-used-trade-in-rackets-for-sale,"**Full stringing service fee applies to all used/trade in rackets** ***Note: The string tension is only marked when we received, we are not responsible for tension lost by the time the purchase is made. There is no warranty for Trade-in/Used/Demo rackets and they do not come with a racket case . All Used| Trade in| Demo rackets are FINAL SALE. Racket cases can be purchased here: https://yumo.ca/products/yonex-racket-cases",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://yumo.ca/products/yonex-racket-cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technist Falcon K3 Unstrung Badminton Racket [Grey/Red],$279.99 CAD,https://yumo.ca/collections/badminton-rackets/products/technist-falcon-k3-badminton-racket-grey-red,"Technist was founded in South Korea in 2016, committed to develop professional badminton gear, apparel and equipment for players to enjoy every moment on the court and achieve their best performance. Technist products focus on functionality and quality with “Korean design” which creates the uniqueness of the brand. ***Preorder - handling 7-14 business days***",,,handling 7-14 business days***,,,,,,,,,,,,,,,,,,,FLEX: COLOR: WEIGHT:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technist JH-III Badminton Racket [Blue],$189.99 CAD,https://yumo.ca/collections/badminton-rackets/products/technist-jh-iii-badminton-racket-blue,"Technist was founded in South Korea in 2016, committed to develop professional badminton gear, apparel and equipment for players to enjoy every moment on the court and achieve their best performance. Technist products focus on functionality and quality with “Korean design” which creates the uniqueness of the brand. Technist | JH-III | badminton racket | JH-3 | Japanese Graphite | Korea | South Korea | 2023 | Medium flex | blue | even balance |",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technist JH-IV Badminton Racket [Red],$189.99 CAD,https://yumo.ca/collections/badminton-rackets/products/technist-jh-iv-badminton-racket-red,"Technist was founded in South Korea in 2016, committed to develop professional badminton gear, apparel and equipment for players to enjoy every moment on the court and achieve their best performance. Technist products focus on functionality and quality with “Korean design” which creates the uniqueness of the brand. Technist | JH-IV | badminton racket | JH-4 | Japanese Graphite | Korea | South Korea | 2023 | Medium flex | red | even balance |",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technist Spear 90 Badminton Racket [Black/Red],$269.99 CAD,https://yumo.ca/collections/badminton-rackets/products/technist-spear-90-badminton-racket-black-red,"Technist was founded in South Korea in 2016, committed to develop professional badminton gear, apparel and equipment for players to enjoy every moment on the court and achieve their best performance. Technist products focus on functionality and quality with “Korean design” which creates the uniqueness of the brand. Nano Tube High Modulus Graphite 675 mm / 26.5 inches Medium Technist | Spear 90| badminton racket | spear90 | graphite | Korea | South Korea | 2023 | even balance |",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technist Spear 93 Unstrung Badminton Racket [Black/Silver],$279.99 CAD,https://yumo.ca/collections/badminton-rackets/products/technist-spear-93-badminton-racket-black-silver,"Spear 93 Badminton Racket - Samsung Badminton Team Official Use Racket Technist was founded in South Korea in 2016, committed to develop professional badminton gear, apparel and equipment for players to enjoy every moment on the court and achieve their best performance. Technist products focus on functionality and quality with “Korean design” which creates the uniqueness of the brand.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samsung Badminton Team Official Use Racket,,,,,,,,,,,,,,,,,,,,,,,,
Technist Spear 94 Unstrung Badminton Racket,$279.99 CAD,https://yumo.ca/collections/badminton-rackets/products/technist-spear-94-badminton-racket,"Technist was founded in South Korea in 2016, committed to develop professional badminton gear, apparel and equipment for players to enjoy every moment on the court and achieve their best performance. Technist products focus on functionality and quality with “Korean design” which creates the uniqueness of the brand.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thruster K Hawk Pro Unstrung Badminton Racket [Daylily Purple] TK-HAWK-PRO-J,$149.99 CAD,https://yumo.ca/collections/badminton-rackets/products/thruster-k-hawk-pro-unstrung-badminton-racket-purple-tk-hawk-pro-j,"The upgraded version of the TK-HAWK, in a feminine color scheme, features the combination of POWER RING and FREE CORE for smoother hits with greater elasticity. Product Description Color Weight / Grip Size 4U/G5 5U/G6 String Tension LBS Frame Material Shaft Material Made In China Release 2025 Technologies NANO TEC:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"are rearranged and integrated based on computer simulation to optimize the hitting, frame characteristics, and overall performance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thruster K Hawk Unstrung Badminton Racket [Pearly White] TK-HAWK-A,$149.99 CAD,https://yumo.ca/collections/badminton-rackets/products/thruster-k-hawk-unstrung-badminton-racket-pearly-white,Thruster K Hawk Unstrung Badminton Racket [Pearly White] Product Description Color Weight / Grip Size 4U/G5 5U/G6 String Tension LBS Frame Material Shaft Material Made In China Release 2024 Racket case NOT included Technologies NANO TEC:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"are rearranged and integrated based on computer simulation to optimize the hitting, frame characteristics, and overall performance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yonex Used | Trade In | Demo - Rackets for Sale,$70.00 CAD,https://yumo.ca/collections/badminton-rackets/products/used-racket,"***Note: The string tension is only marked when we received, we are not responsible for tension lost by the time the purchase is made. There is no warranty for Trade-in/Used/Demo rackets and they do not come with a racket case . All Used| Trade in| Demo rackets are FINAL SALE. Racket cases can be purchased here: https://yumo.ca/products/yonex-racket-cases",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://yumo.ca/products/yonex-racket-cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victor Thruster K HMR LIGHT Badminton Racket [Cinerous],$89.99 CAD,https://yumo.ca/collections/badminton-rackets/products/victor-2019-thruster-k-hmr-light-badminton-racket,"Weight / Grip Size 5U/G5 String tension LBS Racket case NOT included The single-pass grommet hole construction creates less friction between strings, this effectively reduces tension loss, while extending string life. PYROFIL PYROFIL carbon fiber and its composites, are advanced high-performance materials from Japan. The characteristic of high intensity bonds ultra-light offers racket excellent shock-absorption and enhances control.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victor Thruster HMR Prestrung Badminton Racket [Bright Sky Blue],$99.99 CAD,https://yumo.ca/collections/badminton-rackets/products/victor-2021-thruster-hmr-badminton-racket,"POWER BOX The box-shaped design effectively increases the stability and anti-torque, can stand higher string tension. SEVENTYSIX The single-pass grommet hole construction creates less friction between strings, this effectively reduces tension loss, while extending string life. FRS Based on the design of multi-layered carbon fiber, the advanced Fiber Reinforced System (FRS) can not only improve the elasticity, but also offer stable controllability with high tension string. Thruster | HMR | TK | badminton racket | 勝利 | 突擊 | Victor | TK-HMR | TK HMR M | blue | 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
