name,price,url,description_intro,"""VICTOR",***FREE***,***PREORDER,*NEW RELEASE,- EFFORTLESS SHUTTLE FLIGHT WITH EASY SWING AND POWER,20,3U BADMINTON RACKET,3U: MAXIMUM RECOMMENDED TENSION,4U: MAXIMUM RECOMMENDED TENSION,6.4MM SLIM SHAFT STRUCTURE,6.6MM HIGH ELASTIC SLIM CONTROL SHAFT,6.6MM HIGH ELASTIC SLIM SHAFT,6.8MM SLIM SHAFT,<<<DISCONTINUED LEGACY ITEM,A DESIGN BREAKTHROUGH,ADVANCED CARBON FIBER CONSTRUCTION,AERODYNAMIC CROSS-SECTION SYSTEM,AERODYNAMIC CROSS-SECTION SYSTEM & LOW WIND RESISTANCE FRAME,AERODYNAMIC FRAME PROFILE,AGILE & FLEXIBLE DESIGN,ARS-LF80 | ARS,BALANCE,BALANCE POINT,BOOST,BOX FRAME DESIGN,CASE,CAUTION,CHARACTERISTICS,CLASSIC BRAVESWORD BALANCE AND FEEL,COLOR,COMBAT,COMPOSITION,COMPOUND-SWORD,COMPREHENSIVE SHOCK ABSORPTION,CONICAL DYNAMIC TAPER SHAFT,CONICAL FRAME,DESCRIPTIONS,DESIGNED FOR,"DIFFERENT FRAME STRUCTURES-INCLUDING POWER-BOX, DIAMOND, AERO, AND AERDYNAMIC","DIFFERENT FRAME STRUCTURES-INCLUDING POWER-BOX, DIAMOND, AERO, AND AERODYNAMIC",DRIVE,DYNAMIC FRAME,DYNAMIC FRAME SYSTEM,ELASTIC REBOUND SYSTEM,ELASTIC SHAFT & SHAFT TORSION CONTROL,ETA,EXPLOSIVE TAPER,FLEX,FRAME,FRAME MATERIAL,FRAME SHAPE,FREE CORE,FRTP TECH,FULL LENGTH,GIFT BOX INCLUDE,GIFT BOX INCLUDES,GRAVITY TRANSFER SYSTEM,GRIP,GRIP LENGTH,GRIP SIZE,HARD CORED TECHNOLOGY,HARD WIND WHEEL FRAME,HARD-CORED TECHNOLOGY,HDF SHOCK ABSORPTION SYSTEM / CUBIC LOCKING,HIGH DENSITY COMPOSITE SHOCK ABSORPTION SYSTEM,HIGH ELASTIC CARBON FIBER (FRAME & SHAFT MATERIAL),HIGH-DENSITY SHOCK ABSORPTION SYSTEM,HIGHLIGHTS,HOT MELT TECHNOLOGY,HYBRID-ON,INCLUDES,INNOVATIVE NANO RESIN TECHNOLOGY,INSPIRED BY THE MARVEL SUPERHERO,INSTINCT,ISOMETRIC,JOINT,KEYWORD,LAUNCH DATE,LENGTH,LOW WIND RESISTANCE FRAME,MADE IN,MATERIAL,MAXIMUM RACKET TENSION,METALLIC CARBON FIBER,MULTI-DIMENSIONAL COMPOSITE CONTROL SYSTEM,MUSCLE POWER FRAME,NET QUANTITY,NEXT-GEN FRAME,NOTE,OTHERS,OVERALL LENGTH,PLAYER LEVEL,PLAYER TYPE,POWER-BIASED CONTROL DESIGN,POWERBOX,POWERRING,PREORDER ONLY,PRESSURE SHOCK ABSORPTION SYSTEM,PRODUCT,PRODUCT CODE,PRODUCT LAUNCH DATE,PRODUCT RANGE,PRODUCT TYPE,PYROFIL,RACKET CASES CAN BE PURCHASED HERE,RACKET GRIP SIZE,REBOUND-TRANSITION CONSTRUCTION,RECOMMENDED STRING TENSION,RELEASE,RELEASE DATE,SET INCLUDES,SEVENTYSIX-76,SHAFT,SHAFT FLEXIBILITY,SHAFT MATERIAL,SHAFT THICKNESS,SHAFT THICKNESS MM,SHOCK ABSORPTION HANDLE & DUAL/COMPOSITE SHOCK ABSORPTION SYSTEM,SOFT FLEX SHAFT,SOLID HYPER-ELASTIC SHAFT,SONIC-REBOUND TECHNOLOGY,SPEAR 93 BADMINTON RACKET,STABLE TAPER CONE,STIFFNESS,STRING,STRING TENSION,STRING TENSION LBS,STRINGING SERVICE,STRINGING TENSION,STRINGS,STYLE CODE,TENSION,"THE ""YINGCREDIBLE",THE COMPOUND FRAME DESIGN CAN BE DIVIDED INTO THREE MAJOR PARTS,THE NEW LI-NING AXFORCE 100,THE NEW LI-NING AXFORCE 100 (AYPV039),TOUGH STRUCTURE,"TRI-FORMATION: DIFFERENT FRAME STRUCTURES-INCLUDING POWER-BOX, DIAMOND, AERO, AND AERDYNAMIC",TYPE,ULTRA-LIGHTWEIGHT CONSTRUCTION,VICTOR BRAVE SWORD TECHNOLOGY SUPER INSIDER WAVE TECHNOLOGY COMBINED WITH BRAVE SWORD TECHNOLOGY,"VICTOR｜ULTRAMAN COLLECTION FEATURES AN COLLABORATION SERIES OF RACKETS, SHOES, BAGS, APPAREL, AND ACCESSORIES",WEIGHT,WEIGHT / GRIP SIZE,WES,WORLD WIDE LAUNCH DATE
Hundred Battle 1000 Unstrung Badminton Racket [Black],$203.00 CAD,https://yumo.ca/collections/badminton-rackets/products/hundred-battle-1000-badminton-racket-black,Hundred Battle 1000 Unstrung Badminton Racket [Black],,,,,,,,,,,,,,,,,,,,,,Head Heavy,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m40x² Carbon Fibre,34 LBS (pounds),,,,,,,,,Professional,Attacking,,,,,,,,,Battle,badminton racket / HBRX-5U039 / 189,,,G6,,,,,,,,Flexible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84 grams,,,
Hundred Battle 900 Unstrung Badminton Racket,$194.00 CAD,https://yumo.ca/collections/badminton-rackets/products/hundred-battle-900-badminton-racket,"Hundred Battle 900 Unstrung Badminton Racket 3U Badminton Racket - Black Engineered for relentless attack and supreme control, the Hundred Battle 900 3U is a professional-level badminton racket built for players who dominate the court with power, precision, and quick transitions. Slightly heavier than its 4U counterpart, the 3U edition offers increased stability and punch, ideal for advanced players who thrive on a powerful offensive game. 4U stands out with its impeccable balance and lightweight design, tailored for those who command the game with aggressive plays and swift movements. This racket is engineered to cater to the demands of high-level competitive play, offering a unique advantage to players who thrive on precision and power.",,,,,,,"Black Engineered for relentless attack and supreme control, the Hundred Battle 900 3U is a professional-level badminton racket built for players who dominate the court with power, precision, and quick transitions. Slightly heavier than its 4U counterpart, the 3U edition offers increased stability and punch, ideal for advanced players who thrive on a powerful offensive game.",,,,,,,,,,,,,,,Head Heavy,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carbon Fibre,"32 LBS (3U), 34 LBS (4U)",,,,,,,,,Professional,Attacking,,,,,,,,,Battle,"badminton racket / HBRX-2U163 (3U), HBRX-2U160 (4U)",,,G6,,,,,,,,Flexible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"86 grams (3U), 84 grams (4U)",,,
Hundred Flareon 700 Unstrung Badminton Racket [Black/Orange/Pink],$209.00 CAD,https://yumo.ca/collections/badminton-rackets/products/hundred-flareon-700-badminton-racket-black-orange-pink,"Hundred Flareon 700 Unstrung Badminton Racket [Black/Orange/Pink] Experience the true feeling of lightning-fast hands with the Flareon 700. Built for speed, this racket supports rapid reactions, early interceptions, and front-foot control. Curve2 aerodynamics and a lightweight frame allow for quick swings, while AECG+ carbon fibre ensures structural stability during fast-paced exchanges. With CNTRLFOAM absorbing shock and VaporShaft providing precision handling, Flareon 700 is the fastest racket in Hundred’s lineup.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black/Orange/Pink,,,,,,,,,,,,,,,,,,,,,Curve²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 lbs,,,,,,,,,Professional,Speed,,,,,,,,,Flareon,"Pro Series Racket HBRX-5U004-1-3U, HBRX-5U004-1-4U",,,G6,,,,,,,,Hard Flex,,,7.0 mm,,,,,,,,,,,,,,,,,,,,,,,,,,"3U, 4U",,,
Hundred Flareon Typhoon Unstrung Badminton Racket,$90.00 CAD,https://yumo.ca/collections/badminton-rackets/products/hundred-flareon-typhoon-badminton-racket,"Hundred Flareon Typhoon Unstrung Badminton Racket Every inch of the Typhoon is tuned for acceleration. With lightning-fast swing speed and a lightweight, aerodynamic build, it is known for its quick reaction in the game. Flareon Typhoon slices through air like a storm in motion.",,,,,,,,,,,,,,,,,,,,,,Head Light,,,,,,,,"Black/Green/Blue, White/Red/Blue",,,,,,,,,,,,,,,,,,,,,Curve²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 LBS (pounds),,,,,,,,,,,,,,,,,,,Flareon,Badminton Racket / HBRX-5U004-1-4U,,,G6,,,,,,,,Flexible,,,7 mm,,,,,,,,,,,,,,,,,,,,,,,,,,"4U, 5U",,,
Hundred Hyfonic 7 Unstrung Badminton Racket [Dark Purple/Green],$203.00 CAD,https://yumo.ca/collections/badminton-rackets/products/hundred-hyfonic-7-badminton-racket-dark-purple-green,Hundred Hyfonic 7 Unstrung Badminton Racket [Dark Purple/Green],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dark Purple/Green,,,,,,,,,,,,,,,,,,,,,Curve²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 lbs,,,,,,,,,Professional,Precision,,,,,,,,,Hyfonic,"Pro Series Racket HBRX-5U006-1-3U, HBRX-5U006-1-4U",,,G6,,,,,,,,Flexible,,,7.0 mm,,,,,,,,,,,,,,,,,,,,,,,,,,"3U, 4U",,,
Hundred Hyfonic Lazer Unstrung Badminton Racket,$75.00 CAD,https://yumo.ca/collections/badminton-rackets/products/hundred-hyfonic-lazer,"Hundred Hyfonic Lazer Unstrung Badminton Racket Hyfonic Lazer is the racket that executes clean unscattered accuracy. Specialising the dual-aerodynamic frame design to sharpen the shuttle path, it snaps through smashes and amplifies power for lifts. This is control that feels natural and placement that feels intentional.",,,,,,,,,,,,,,,,,,,,,,Even Balance,,,,,,,,"Black/Green, White/Copper",,,,,,,,,,,,,,,,,,,,,Curve²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carbon Fibre,,,,,,,,,,,,,,,,,,,,,badminton racket / HBRX-5U006-1-4U,,,G6,,,,,,,,Flexible,,,7 mm,,,,,,,,,,,,,,,,,,,,,,,,,,32 LBS,,,
Hundred Nano Neo 7000 Unstrung Badminton Racket,$116.00 CAD,https://yumo.ca/collections/badminton-rackets/products/hundred-nano-neo-7000-badminton-racket,Hundred Nano Neo 7000 Unstrung Badminton Racket,,,,,,,,,,,,,,,,,,,,,,Head Heavy,,,,,,,,"Charcoal/Black, Navy/Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carbon Fibre,32-34 LBS (pounds),,,,,,,,,,Attacking,,,,,,,,,Nano Neo,badminton racket,,,G6,,,,,,,,Flexible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"79 grams (5U), 83 grams (4U)",,,
Hundred Nitrix 70 Venom Unstrung Badminton Racket [Black/Green],$224.00 CAD,https://yumo.ca/collections/badminton-rackets/products/hundred-nitrix-70-venom-badminton-racket-black-green,"Hundred Nitrix 70 Venom Unstrung Badminton Racket [Black/Green] Nitrix 70 Venom is a racket created for heavy smashes and offensive play. The head-heavy balance loads up each swing with momentum, while its ultra-slim 6.1mm shaft creates a whip-like effect on contact. M46X carbon fiber ensures superior power transfer and responsiveness and CNTRL Foam lines the inner frame to absorb shock and keep each shot stable. The racket frame is fortified with a seamless built-in T-Joint that reinforces the intersection of the shaft and head and ensures faster recovery. This design helps improve gameplay placing power and control in the hands of the athlete.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black/Green,,,,,,,,,,,,,,,,,,,,,Curve²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 lbs,,,,,,,,,Professional,Attack,,,,,,,,,Nitrix,"Pro Series Racket HBRX-5U002-1-3U, HBRX-5U002-1-4U",,,G6,,,,,,,,Hard Flex,,,6.1 mm,,,,,,,,,,,,,,,,,,,,,,,,,,"3U, 4U",,,
Hundred Nitrix 70 Volta Unstrung Badminton Racket [White/Copper],$209.00 CAD,https://yumo.ca/collections/badminton-rackets/products/hundred-nitrix-70-volta-badminton-racket-white-copper,Hundred Nitrix 70 Volta Unstrung Badminton Racket [White/Copper],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,White/Copper,,,,,,,,,,,,,,,,,,,,,Curve²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 lbs,,,,,,,,,Professional,Attack,,,,,,,,,Nitrix,"Pro Series Racket HBRX-5U001-1-3U, HBRX-5U001-1-4U",,,G6,,,,,,,,Flexible,,,7.0 mm,,,,,,,,,,,,,,,,,,,,,,,,,,"3U, 4U",,,
Hundred Nitrix Attack Unstrung Badminton Racket,$100.00 CAD,https://yumo.ca/collections/badminton-rackets/products/hundred-nitrix-attack-badminton-racket,"Hundred Nitrix Attack Unstrung Badminton Racket A racket built to play bold. The Kidambi Edition celebrates one of badminton’s fiercest attackers, bringing that same fearless intent to your game. Swift through the air and relentless on the court, it gives every smash bite and every shot purpose. Inspired by Srikanth Kidambi’s fearless style, this edition channels his attacking mindset into a racket built for sharp, confident play.",,,,,,,,,,,,,,,,,,,,,,Head Heavy,,,,,,,,"Black, White",,,,,,,,,,,,,,,,,,,,,Curve²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 LBS (pounds),,,,,,,,,Intermediate,Attack,,,,,,,,,Nitrix,Badminton Racket HBRX-5U160-2,,,G6,,,,,,,,Flexible,,,6.5 mm,,,,,,,,,,,,,,,,,,,,,,,,,,4U,,,
